Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
8,8,16,0.0,0.0,6.349604207872797,0.3968502629920499,20.572717633507864,2,1.0,0.0,1.0,0.0,0.0,-1.5467,0.0173,127.2488
8,9,17,0.0588235294117647,0.0588235294117647,6.611489018457944,0.3889111187328203,20.161152395109404,1,1.0,0.0,1.0,1.0,0.0,0.1642,0.1355,131.969
9,8,17,-0.0588235294117647,0.0588235294117647,6.611489018457944,0.3889111187328203,25.968461366859326,1,1.0,1.0,1.0,0.0,0.0,-0.4663,0.1327,128.3671
8,10,18,0.1111111111111111,0.2222222222222222,6.868285455319991,0.3815714141844439,19.78066211132158,2,1.0,0.0,1.0,2.0,0.0,0.4714,0.4119,140.4809
9,9,18,0.0,0.0,6.868285455319991,0.3815714141844439,25.47837295120872,0,1.0,1.0,1.0,1.0,0.5,1.4888,0.3366,138.3174
10,8,18,-0.1111111111111111,0.2222222222222222,6.868285455319991,0.3815714141844439,31.90940416347387,2,1.0,2.0,1.0,0.0,0.0,-0.5489,0.4425,132.6503
8,11,19,0.1578947368421052,0.4736842105263157,7.1203673589019925,0.3747561767843155,19.427360204498918,1,1.0,0.0,1.0,3.0,0.0,0.1255,0.5885,144.2311
9,10,19,0.0526315789473684,0.0526315789473684,7.1203673589019925,0.3747561767843155,25.02330437485157,1,1.0,1.0,1.0,2.0,0.6666666666666666,1.8489,0.8328,148.5991
10,9,19,-0.0526315789473684,0.0526315789473684,7.1203673589019925,0.3747561767843155,31.33947110091588,1,1.0,2.0,1.0,1.0,0.6666666666666666,1.2385,0.8907,144.5883
11,8,19,-0.1578947368421052,0.4736842105263157,7.1203673589019925,0.3747561767843155,38.3778530836576,1,1.0,3.0,1.0,0.0,0.0,-1.1736,0.6581,131.6579
8,12,20,0.2,0.8,7.368062997280773,0.3684031498640386,19.098019288951768,2,1.0,0.0,1.0,4.0,0.0,-1.1436,0.6519,151.9017
9,11,20,0.1,0.2,7.368062997280773,0.3684031498640386,24.59909862141523,0,1.0,1.0,1.0,3.0,0.75,1.7658,1.1406,154.3455
10,10,20,0.0,0.0,7.368062997280773,0.3684031498640386,30.808190988924707,2,1.0,2.0,1.0,2.0,1.0,1.571,1.2544,160.2279
11,9,20,-0.1,0.2,7.368062997280773,0.3684031498640386,37.72725531132728,0,1.0,3.0,1.0,1.0,0.75,0.7021,1.2831,145.7178
12,8,20,-0.2,0.8,7.368062997280773,0.3684031498640386,45.357947672869614,2,1.0,4.0,1.0,0.0,0.0,-2.6766,0.7562,134.1202
8,13,21,0.238095238095238,1.1904761904761905,7.611662611020244,0.3624601243342974,18.78993284548998,1,1.0,0.0,1.0,5.0,0.0,-2.484,0.2423,155.442
9,12,21,0.1428571428571428,0.4285714285714285,7.611662611020244,0.3624601243342974,24.20226957375468,1,1.0,1.0,1.0,4.0,0.8,0.8153,1.245,163.1227
10,11,21,0.0476190476190476,0.0476190476190476,7.611662611020244,0.3624601243342974,30.31119777472473,1,1.0,2.0,1.0,3.0,1.2,1.617,1.7789,166.9895
11,10,21,-0.0476190476190476,0.0476190476190476,7.611662611020244,0.3624601243342974,37.11864476723983,1,1.0,3.0,1.0,2.0,1.2,1.0286,1.8945,162.6029
12,9,21,-0.1428571428571428,0.4285714285714285,7.611662611020244,0.3624601243342974,44.62623991983869,1,1.0,4.0,1.0,1.0,0.8,-0.5092,1.4624,149.3945
8,14,22,0.2727272727272727,1.6363636363636365,7.851424410539689,0.3568829277518041,18.50081097465353,2,1.0,0.0,1.0,6.0,0.0,-5.1638,0.0125,162.4161
9,13,22,0.1818181818181818,0.7272727272727273,7.851424410539689,0.3568829277518041,23.829867739475016,0,1.0,1.0,1.0,5.0,0.8333333333333334,0.2156,0.7247,168.0717
10,12,22,0.0909090909090909,0.1818181818181818,7.851424410539689,0.3568829277518041,29.84479748048283,2,1.0,2.0,1.0,4.0,1.3333333333333333,0.9044,1.9078,177.6417
11,11,22,0.0,0.0,7.851424410539689,0.3568829277518041,36.54749786074123,0,1.0,3.0,1.0,3.0,1.5,1.4875,1.8497,174.1838
12,10,22,-0.0909090909090909,0.1818181818181818,7.851424410539689,0.3568829277518041,43.93957317759341,2,1.0,4.0,1.0,2.0,1.3333333333333333,-0.3211,2.1868,168.3357
8,15,23,0.3043478260869565,2.130434782608696,8.087579399090064,0.3516338869169593,18.22870069777517,1,1.0,0.0,1.0,5.0,0.0,-6.6812,0.0036,164.7689
9,14,23,0.217391304347826,1.0869565217391304,8.087579399090064,0.3516338869169593,23.47937759515395,1,1.0,1.0,1.0,6.0,0.8571428571428571,-1.5336,0.2793,175.5591
10,13,23,0.1304347826086956,0.391304347826087,8.087579399090064,0.3516338869169593,29.405839636044625,1,1.0,2.0,1.0,5.0,1.4285714285714286,0.8368,1.3465,183.1338
11,12,23,0.0434782608695652,0.0434782608695652,8.087579399090064,0.3516338869169593,36.00995657264731,1,1.0,3.0,1.0,4.0,1.7142857142857142,1.1952,1.9936,185.926
12,11,23,-0.0434782608695652,0.0434782608695652,8.087579399090064,0.3516338869169593,43.29330910626961,1,1.0,4.0,1.0,3.0,1.7142857142857142,0.3395,2.1454,181.2028
13,10,23,-0.1304347826086956,0.391304347826087,8.087579399090064,0.3516338869169593,51.25725440678919,1,1.0,5.0,1.0,2.0,1.4285714285714286,-0.6602,1.6422,168.3432
8,16,24,0.3333333333333333,2.6666666666666665,8.320335292207616,0.3466806371753174,17.971924231168455,2,1.0,0.0,1.0,4.0,0.0,-8.9953,0.007,169.3797
9,15,24,0.25,1.5,8.320335292207616,0.3466806371753174,23.14863808074937,0,1.0,1.0,1.0,5.0,0.8333333333333334,-2.3762,0.2169,179.1665
10,14,24,0.1666666666666666,0.6666666666666666,8.320335292207616,0.3466806371753174,28.991617705225995,2,1.0,2.0,1.0,6.0,1.5,-0.2903,0.7804,192.0725
11,13,24,0.0833333333333333,0.1666666666666666,8.320335292207616,0.3466806371753174,35.50270651875211,0,1.0,3.0,1.0,5.0,1.875,1.3825,1.4119,193.0719
12,12,24,0.0,0.0,8.320335292207616,0.3466806371753174,42.68346295627071,2,1.0,4.0,1.0,4.0,2.0,0.7951,1.6757,197.5306
13,11,24,-0.0833333333333333,0.1666666666666666,8.320335292207616,0.3466806371753174,50.53522507004423,0,1.0,5.0,1.0,3.0,1.875,0.2749,1.6375,183.0215
14,10,24,-0.1666666666666666,0.6666666666666666,8.320335292207616,0.3466806371753174,59.05915654835833,2,1.0,6.0,1.0,2.0,1.5,-1.968,1.0459,171.4222
8,17,25,0.36,3.24,8.549879733383484,0.3419951893353394,17.729030615143994,1,1.0,0.0,1.0,3.0,0.0,-7.736,0.1017,167.9281
9,16,25,0.28,1.96,8.549879733383484,0.3419951893353394,22.835780295620086,1,1.0,1.0,1.0,4.0,0.8,-4.0889,0.2182,184.3866
