Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
22,37,59,0.2542372881355932,3.8135593220338975,15.155421094002053,0.2568715439661365,112.29137037193556,1,2.0,2.0,2.0,13.0,1.7333333333333334,1.6929,1.5338,484.9541
73,105,178,0.1797752808988764,5.752808988764045,31.6431712450704,0.1777706249723056,906.1200321316222,0,3.0,9.0,4.0,21.0,6.3,-2.5466,10.5521,1429.4965
75,92,167,0.1017964071856287,1.7305389221556886,30.32571022328558,0.1815910791813508,977.7992637410484,1,3.0,7.0,4.0,10.0,4.117647058823529,0.3074,3.8564,1323.8616
77,93,170,0.0941176470588235,1.5058823529411764,30.687813601627905,0.1805165505978112,1025.3407123170175,0,3.0,5.0,4.0,11.0,3.4375,0.3832,3.0807,1334.9979
79,95,174,0.0919540229885057,1.471264367816092,31.167322789559027,0.1791225447675806,1071.757883055379,0,3.0,3.0,4.0,13.0,2.4375,0.7479,2.1567,1356.7265
81,97,178,0.0898876404494382,1.4382022471910112,31.6431712450704,0.1777706249723056,1119.0030377339674,0,3.0,1.0,4.0,15.0,0.9375,1.2344,0.8647,1377.9811
93,135,228,0.1842105263157894,7.736842105263157,37.32128295889665,0.1636898375390204,1363.3355503315763,0,4.0,11.0,5.0,9.0,4.95,-2.7711,5.5032,1734.3185
93,139,232,0.1982758620689655,9.120689655172416,37.75652270956944,0.1627436323688338,1355.454821962502,0,4.0,11.0,5.0,13.0,5.958333333333333,-3.5404,8.7257,1762.4657
101,155,256,0.2109375,11.390625,40.317473596635935,0.1574901312368591,1550.2585087076936,0,4.0,19.0,5.0,29.0,11.479166666666666,-4.2512,13.8427,1899.6625
8,19,27,0.4074074074074074,4.481481481481482,8.999999999999998,0.3333333333333333,17.28,1,1.0,0.0,1.0,1.0,0.0,-7.0883,0.094,164.8337
8,20,28,0.4285714285714285,5.142857142857143,9.220872584116892,0.3293168780041747,17.071786955736425,2,1.0,0.0,2.0,0.0,0.0,-7.7639,0.0126,165.603
8,21,29,0.4482758620689655,5.827586206896552,9.43913067739236,0.3254872647376676,16.873259804000693,1,1.0,0.0,2.0,1.0,0.0,-6.2306,0.3537,162.8303
8,22,30,0.4666666666666667,6.533333333333333,9.654893846056297,0.3218297948685433,16.683656565985284,2,1.0,0.0,2.0,2.0,0.0,-6.308,1.5515,162.3306
8,23,31,0.4838709677419355,7.258064516129032,9.868272403218972,0.3183313678457733,16.502298109124894,1,1.0,0.0,2.0,3.0,0.0,-6.1616,2.4445,159.3679
9,22,31,0.4193548387096774,5.451612903225806,9.868272403218972,0.3183313678457733,21.255694243705957,1,1.0,1.0,2.0,2.0,0.6666666666666666,-3.5317,2.7005,186.0206
9,23,32,0.4375,6.125,10.079368399158984,0.3149802624737183,21.03193347627397,0,1.0,1.0,2.0,3.0,0.75,-4.237,3.9637,184.9229
