Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
8,8,16,0.0,0.0,6.349604207872797,0.3968502629920499,20.572717633507864,2,1.0,0.0,1.0,0.0,0.0,-1.5467,0.0173,122.03835055,127.6193152,-5.580964649999999,3.2e-06
8,9,17,0.0588235294117647,0.0588235294117647,6.611489018457944,0.3889111187328203,20.161152395109404,1,1.0,0.0,1.0,1.0,0.0,0.1642,0.1355,128.4530515,131.7623947,-3.3093432000000007,3.4e-06
9,8,17,-0.0588235294117647,0.0588235294117647,6.611489018457944,0.3889111187328203,25.968461366859326,1,1.0,1.0,1.0,0.0,0.0,-0.4663,0.1327,125.02247102,128.2195828,-3.1971117800000144,0.0002482
8,10,18,0.1111111111111111,0.2222222222222222,6.868285455319991,0.3815714141844439,19.78066211132158,2,1.0,0.0,1.0,2.0,0.0,0.4714,0.4119,138.1899074,139.8077658,-1.6178583999999887,3.6e-06
9,9,18,0.0,0.0,6.868285455319991,0.3815714141844439,25.47837295120872,0,1.0,1.0,1.0,1.0,0.5,1.4888,0.3366,136.9502044,137.3694894,-0.4192850000000021,0.0004626
10,8,18,-0.1111111111111111,0.2222222222222222,6.868285455319991,0.3815714141844439,31.90940416347387,2,1.0,2.0,1.0,0.0,0.0,-0.5489,0.4425,130.99435765,132.1426386,-1.148280949999986,0.0003636
8,11,19,0.1578947368421052,0.4736842105263157,7.1203673589019925,0.3747561767843155,19.427360204498918,1,1.0,0.0,1.0,3.0,0.0,0.1255,0.5885,142.49031242,143.7634088,-1.2730963799999984,0.0026372
9,10,19,0.0526315789473684,0.0526315789473684,7.1203673589019925,0.3747561767843155,25.02330437485157,1,1.0,1.0,1.0,2.0,0.6666666666666666,1.8489,0.8328,147.2791114,147.8013648,-0.5222533999999825,3.8e-06
10,9,19,-0.0526315789473684,0.0526315789473684,7.1203673589019925,0.3747561767843155,31.33947110091588,1,1.0,2.0,1.0,1.0,0.6666666666666666,1.2385,0.8907,143.51748615,143.7795189,-0.262032750000003,0.0001596
11,8,19,-0.1578947368421052,0.4736842105263157,7.1203673589019925,0.3747561767843155,38.3778530836576,1,1.0,3.0,1.0,0.0,0.0,-1.1736,0.6581,131.14659878,131.8198416,-0.6732428199999845,0.0105355
8,12,20,0.2,0.8,7.368062997280773,0.3684031498640386,19.098019288951768,2,1.0,0.0,1.0,4.0,0.0,-1.1436,0.6519,150.04256328,151.371414,-1.3288507199999913,0.000884
9,11,20,0.1,0.2,7.368062997280773,0.3684031498640386,24.59909862141523,0,1.0,1.0,1.0,3.0,0.75,1.7658,1.1406,153.93802149,154.402702,-0.4646805099999938,3e-05
10,10,20,0.0,0.0,7.368062997280773,0.3684031498640386,30.808190988924707,2,1.0,2.0,1.0,2.0,1.0,1.571,1.2544,159.05956203,160.644824,-1.5852619700000048,4e-06
11,9,20,-0.1,0.2,7.368062997280773,0.3684031498640386,37.72725531132728,0,1.0,3.0,1.0,1.0,0.75,0.7021,1.2831,146.0344547,145.970056,0.0643986999999981,0.001108
12,8,20,-0.2,0.8,7.368062997280773,0.3684031498640386,45.357947672869614,2,1.0,4.0,1.0,0.0,0.0,-2.6766,0.7562,134.23349494,134.560504,-0.3270090599999946,0.001862
8,13,21,0.238095238095238,1.1904761904761905,7.611662611020244,0.3624601243342974,18.78993284548998,1,1.0,0.0,1.0,5.0,0.0,-2.484,0.2423,152.61317844,155.1768687,-2.563690259999987,0.0119994
9,12,21,0.1428571428571428,0.4285714285714285,7.611662611020244,0.3624601243342974,24.20226957375468,1,1.0,1.0,1.0,4.0,0.8,0.8153,1.245,162.02867313,162.5041614,-0.4754882699999996,0.0017997
10,11,21,0.0476190476190476,0.0476190476190476,7.611662611020244,0.3624601243342974,30.31119777472473,1,1.0,2.0,1.0,3.0,1.2,1.617,1.7789,166.27536904,167.4059856,-1.1306165600000213,3.78e-05
