Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
22,37,59,0.2542372881355932,3.8135593220338984,15.155421094002051,0.2568715439661365,112.29137037193556,1,2.0,2.0,2.0,13.0,1.7333333333333334,1.6929,1.5338,487.9906325
73,105,178,0.1797752808988764,5.752808988764045,31.6431712450704,0.17777062497230567,906.1200321316222,0,3.0,9.0,4.0,21.0,6.3,-2.5466,10.5521,1430.55416105
75,92,167,0.10179640718562874,1.7305389221556886,30.32571022328558,0.18159107918135084,977.7992637410484,1,3.0,7.0,4.0,10.0,4.117647058823529,0.3074,3.8564,1325.02431759
77,93,170,0.09411764705882353,1.5058823529411764,30.687813601627905,0.18051655059781124,1025.3407123170175,0,3.0,5.0,4.0,11.0,3.4375,0.3832,3.0807,1336.09526806
79,95,174,0.09195402298850575,1.471264367816092,31.167322789559027,0.17912254476758066,1071.757883055379,0,3.0,3.0,4.0,13.0,2.4375,0.7479,2.1567,1357.77184617
81,97,178,0.0898876404494382,1.4382022471910112,31.6431712450704,0.17777062497230567,1119.0030377339674,0,3.0,1.0,4.0,15.0,0.9375,1.2344,0.8647,1378.89645224
93,135,228,0.18421052631578946,7.7368421052631575,37.32128295889665,0.16368983753902044,1363.3355503315765,0,4.0,11.0,5.0,9.0,4.95,-2.7711,5.5032,1735.7603033
93,139,232,0.19827586206896552,9.120689655172415,37.75652270956944,0.16274363236883382,1355.4548219625021,0,4.0,11.0,5.0,13.0,5.958333333333333,-3.5404,8.7257,1764.01651939
101,155,256,0.2109375,11.390625,40.317473596635935,0.15749013123685915,1550.2585087076936,0,4.0,19.0,5.0,29.0,11.479166666666666,-4.2512,13.8427,1900.21209038
8,19,27,0.4074074074074074,4.481481481481482,8.999999999999998,0.33333333333333337,17.28,1,1.0,0.0,1.0,1.0,0.0,-7.0883,0.094,165.72355288
8,20,28,0.42857142857142855,5.142857142857143,9.220872584116892,0.32931687800417475,17.071786955736425,2,1.0,0.0,2.0,0.0,0.0,-7.7639,0.0126,167.70201274
8,21,29,0.4482758620689655,5.827586206896552,9.43913067739236,0.32548726473766765,16.873259804000693,1,1.0,0.0,2.0,1.0,0.0,-6.2306,0.3537,165.78016553
8,22,30,0.4666666666666667,6.533333333333333,9.654893846056297,0.3218297948685433,16.683656565985284,2,1.0,0.0,2.0,2.0,0.0,-6.308,1.5515,166.84976693
