Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
8,8,16,0.0,0.0,6.3496042078727974,0.3968502629920499,20.572717633507864,2,1.0,0.0,1.0,0.0,0.0,-1.5467,0.0173,127.2488,127.6193152,-0.3705151999999998,3.2e-06
8,9,17,0.058823529411764705,0.058823529411764705,6.611489018457944,0.3889111187328203,20.161152395109404,1,1.0,0.0,1.0,1.0,0.0,0.1642,0.1355,131.969,131.7623947,0.20660530000000676,3.4e-06
9,8,17,-0.058823529411764705,0.058823529411764705,6.611489018457944,0.3889111187328203,25.968461366859326,1,1.0,1.0,1.0,0.0,0.0,-0.4663,0.1327,128.3671,128.2195828,0.14751719999998159,0.0002482
8,10,18,0.1111111111111111,0.2222222222222222,6.868285455319991,0.38157141418444396,19.78066211132158,2,1.0,0.0,1.0,2.0,0.0,0.4714,0.4119,140.4809,139.8077658,0.6731341999999927,3.6e-06
9,9,18,0.0,0.0,6.868285455319991,0.38157141418444396,25.47837295120872,0,1.0,1.0,1.0,1.0,0.5,1.4888,0.3366,138.3174,137.3694894,0.9479106000000002,0.0004626
10,8,18,-0.1111111111111111,0.2222222222222222,6.868285455319991,0.38157141418444396,31.90940416347387,2,1.0,2.0,1.0,0.0,0.0,-0.5489,0.4425,132.6503,132.1426386,0.5076613999999893,0.0003636
8,11,19,0.15789473684210525,0.47368421052631576,7.1203673589019925,0.3747561767843155,19.427360204498914,1,1.0,0.0,1.0,3.0,0.0,0.1255,0.5885,144.2311,143.7634088,0.4676911999999902,0.0026372
9,10,19,0.05263157894736842,0.05263157894736842,7.1203673589019925,0.3747561767843155,25.023304374851566,1,1.0,1.0,1.0,2.0,0.6666666666666666,1.8489,0.8328,148.5991,147.8013648,0.7977352000000053,3.8e-06
10,9,19,-0.05263157894736842,0.05263157894736842,7.1203673589019925,0.3747561767843155,31.33947110091588,1,1.0,2.0,1.0,1.0,0.6666666666666666,1.2385,0.8907,144.5883,143.7795189,0.8087811000000045,0.0001596
11,8,19,-0.15789473684210525,0.47368421052631576,7.1203673589019925,0.3747561767843155,38.3778530836576,1,1.0,3.0,1.0,0.0,0.0,-1.1736,0.6581,131.6579,131.8198416,-0.16194159999997737,0.0105355
8,12,20,0.2,0.8,7.368062997280773,0.36840314986403866,19.098019288951768,2,1.0,0.0,1.0,4.0,0.0,-1.1436,0.6519,151.9017,151.371414,0.530286000000018,0.000884
9,11,20,0.1,0.2,7.368062997280773,0.36840314986403866,24.59909862141523,0,1.0,1.0,1.0,3.0,0.75,1.7658,1.1406,154.3455,154.402702,-0.05720200000001796,3e-05
10,10,20,0.0,0.0,7.368062997280773,0.36840314986403866,30.808190988924707,2,1.0,2.0,1.0,2.0,1.0,1.571,1.2544,160.2279,160.644824,-0.4169239999999945,4e-06
11,9,20,-0.1,0.2,7.368062997280773,0.36840314986403866,37.72725531132728,0,1.0,3.0,1.0,1.0,0.75,0.7021,1.2831,145.7178,145.970056,-0.2522559999999885,0.001108
12,8,20,-0.2,0.8,7.368062997280773,0.36840314986403866,45.357947672869614,2,1.0,4.0,1.0,0.0,0.0,-2.6766,0.7562,134.1202,134.560504,-0.4403039999999976,0.001862
8,13,21,0.23809523809523808,1.1904761904761905,7.611662611020244,0.3624601243342974,18.78993284548998,1,1.0,0.0,1.0,5.0,0.0,-2.484,0.2423,155.442,155.1768687,0.2651313000000073,0.0119994
9,12,21,0.14285714285714285,0.42857142857142855,7.611662611020244,0.3624601243342974,24.20226957375468,1,1.0,1.0,1.0,4.0,0.8,0.8153,1.245,163.1227,162.5041614,0.6185386000000221,0.0017997
10,11,21,0.047619047619047616,0.047619047619047616,7.611662611020244,0.3624601243342974,30.31119777472473,1,1.0,2.0,1.0,3.0,1.2,1.617,1.7789,166.9895,167.4059856,-0.41648560000001567,3.78e-05
11,10,21,-0.047619047619047616,0.047619047619047616,7.611662611020244,0.3624601243342974,37.11864476723983,1,1.0,3.0,1.0,2.0,1.2,1.0286,1.8945,162.6029,163.0767201,-0.4738200999999833,4.2e-05
