Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
16O,O,8,8,16,127.6193152,3.2e-06,0.0032
17O,O,8,9,17,131.7623947,3.4e-06,0.0034
18O,O,8,10,18,139.8077658,3.6e-06,0.0036
19O,O,8,11,19,143.7634088,0.0026372,2.6372
20O,O,8,12,20,151.371414,0.000884,0.884
21O,O,8,13,21,155.1768687,0.0119994,11.9994
22O,O,8,14,22,162.0271884,0.0569206,56.9206
23O,O,8,15,23,164.7601688,0.1217114,121.7114
24O,O,8,16,24,168.952452,0.1648752,164.8752
25O,O,8,17,25,168.195145,0.165085,165.085
26O,O,8,18,26,168.934454,0.1649492,164.9492
17F,F,9,8,17,128.2195828,0.0002482,0.2482
18F,F,9,9,18,137.3694894,0.0004626,0.4626
19F,F,9,10,19,147.8013648,3.8e-06,0.0038
20F,F,9,11,20,154.402702,3e-05,0.03
21F,F,9,12,21,162.5041614,0.0017997,1.7997
22F,F,9,13,22,167.7344988,0.0123992,12.3992
23F,F,9,14,23,175.3139281,0.0333201,33.3201
24F,F,9,15,24,179.1259944,0.0976704,97.6704
25F,F,9,16,25,183.4076625,0.0964425,96.4425
26F,F,9,17,26,184.1384922,0.1070264,107.0264
27F,F,9,18,27,185.7509874,0.1201986,120.1986
28F,F,9,19,28,185.5519876,0.1203468,120.3468
29F,F,9,20,29,186.8769106,0.525364,525.364
18Ne,Ne,10,8,18,132.1426386,0.0003636,0.3636
19Ne,Ne,10,9,19,143.7795189,0.0001596,0.1596
20Ne,Ne,10,10,20,160.644824,4e-06,0.004
21Ne,Ne,10,11,21,167.4059856,3.78e-05,0.0378
22Ne,Ne,10,12,22,177.7702432,1.76e-05,0.0176
23Ne,Ne,10,13,23,182.9708903,0.0001035,0.1035
24Ne,Ne,10,14,24,191.8398048,0.0005136,0.5136000000000001
25Ne,Ne,10,15,25,195.994985,0.029045,29.045
26Ne,Ne,10,16,26,201.549686,0.0184288,18.4288
27Ne,Ne,10,17,27,203.0512077,0.0907713,90.7713
28Ne,Ne,10,18,28,206.8736964,0.1260672,126.0672
29Ne,Ne,10,19,29,207.8449517,0.1495037,149.5037
30Ne,Ne,10,20,30,211.035951,0.253251,253.251
31Ne,Ne,10,21,31,211.2057962,0.2661939,266.1939
19Na,Na,11,8,19,131.8198416,0.0105355,10.5355
20Na,Na,11,9,20,145.970056,0.001108,1.108
21Na,Na,11,10,21,163.0767201,4.2e-05,0.042
22Na,Na,11,11,22,174.1445728,0.000132,0.132
23Na,Na,11,12,23,186.5643528,4.6e-06,0.0046
24Na,Na,11,13,24,193.5237168,1.68e-05,0.0168
25Na,Na,11,14,25,202.5349475,0.0012,1.2
26Na,Na,11,15,26,208.1092338,0.0035022,3.5022
27Na,Na,11,16,27,214.8375609,0.003726,3.726
28Na,Na,11,17,28,218.3794032,0.0102452,10.2452
29Na,Na,11,18,29,222.7824138,0.007337,7.337
30Na,Na,11,19,30,225.059055,0.004728,4.728000000000001
31Na,Na,11,20,31,229.3590118,0.0139717,13.9717
32Na,Na,11,21,32,231.036208,0.0372608,37.2608
33Na,Na,11,22,33,233.9675646,0.4499121,449.9121
34Na,Na,11,23,34,234.1388818,0.5994166,599.4166
20Mg,Mg,12,8,20,134.560504,0.001862,1.862
21Mg,Mg,12,9,21,149.2056657,0.0007539,0.7538999999999999
22Mg,Mg,12,10,22,168.580819,0.0001584,0.1584
23Mg,Mg,12,11,23,181.7258267,3.22e-05,0.0322
24Mg,Mg,12,12,24,198.2570472,1.44e-05,0.0144
25Mg,Mg,12,13,25,205.58757,4.75e-05,0.0475
26Mg,Mg,12,14,26,216.6806486,2.86e-05,0.0286
27Mg,Mg,12,15,27,223.1240175,4.86e-05,0.0486
28Mg,Mg,12,16,28,231.6286868,0.0002604,0.2604
29Mg,Mg,12,17,29,235.2924193,0.0003451,0.3451
30Mg,Mg,12,18,30,241.63275,0.001296,1.296
31Mg,Mg,12,19,31,243.9448466,0.0030752,3.0752
32Mg,Mg,12,20,32,249.7229152,0.0032608,3.2608
33Mg,Mg,12,21,33,252.0024606,0.0026631,2.6631
34Mg,Mg,12,22,34,256.7133246,0.0068918,6.8918
35Mg,Mg,12,23,35,257.468183,0.269668,269.668
36Mg,Mg,12,24,36,260.7991272,0.6902388,690.2388000000001
37Mg,Mg,12,25,37,261.0391255,0.6989485,698.9485
23Al,Al,13,10,23,168.7217325,0.000345,0.345
24Al,Al,13,11,24,183.5899344,0.000228,0.228
25Al,Al,13,12,25,200.528415,6.5e-05,0.06499999999999999
26Al,Al,13,13,26,211.8938978,6.76e-05,0.06760000000000001
27Al,Al,13,14,27,224.9519391,4.86e-05,0.0486
28Al,Al,13,15,28,232.6771132,5.04e-05,0.0504
29Al,Al,13,16,29,242.1054763,0.0003451,0.3451
30Al,Al,13,17,30,247.833147,0.001935,1.935
31Al,Al,13,18,31,254.991058,0.0022351,2.2351
32Al,Al,13,19,32,259.2110368,0.0071712,7.1712
33Al,Al,13,20,33,264.6803676,0.0069861,6.9861
34Al,Al,13,21,34,267.2519204,0.0021046,2.1046
35Al,Al,13,22,35,272.5493505,0.0073605,7.3605
36Al,Al,13,23,36,274.4465544,0.1495044,149.5044
37Al,Al,13,24,37,278.658692,0.1802455,180.2455
24Si,Si,14,10,24,172.0135896,0.0194712,19.4712
25Si,Si,14,11,25,187.0027725,0.01,10.0
26Si,Si,14,12,26,206.0424158,0.0001066,0.1066
27Si,Si,14,13,27,219.357234,0.000108,0.108
28Si,Si,14,14,28,236.536846,5.6e-06,0.0056
29Si,Si,14,15,29,245.0104469,5.8e-06,0.0058
30Si,Si,14,16,30,255.619647,2.4e-05,0.024
31Si,Si,14,17,31,262.2070396,4.34e-05,0.0434
32Si,Si,14,18,32,271.407008,0.0002976,0.2976
33Si,Si,14,19,33,275.9149668,0.0006996,0.6996
34Si,Si,14,20,34,283.4636406,0.0008024,0.8024
35Si,Si,14,21,35,285.934754,0.0358575,35.8575
36Si,Si,14,22,36,292.0507164,0.0717984,71.7984
37Si,Si,14,23,37,294.2574221,0.1138083,113.8083
38Si,Si,14,24,38,299.9275286,0.1047926,104.7926
39Si,Si,14,25,39,301.5081927,0.1355328,135.5328
40Si,Si,14,26,40,306.232988,0.121992,121.992
27P,P,15,12,27,206.8494138,0.0090018,9.001800000000001
28P,P,15,13,28,221.4095576,0.001148,1.148
29P,P,15,14,29,239.2858672,0.0003596,0.3596
30P,P,15,15,30,250.605192,6.6e-05,0.066
31P,P,15,16,31,262.9161987,6.2e-06,0.0062
32P,P,15,17,32,270.8518496,4.16e-05,0.0416
33P,P,15,18,33,280.9556409,0.001089,1.089
34P,P,15,19,34,287.2383104,0.0008092,0.8092
35P,P,15,20,35,295.618736,0.0018655,1.8655
36P,P,15,21,36,299.0832912,0.0131148,13.1148
37P,P,15,22,37,305.8995757,0.0379472,37.9472
38P,P,15,23,38,309.5964462,0.07258,72.58000000000001
39P,P,15,24,39,315.8208339,0.1126437,112.6437
40P,P,15,25,40,319.256708,0.083608,83.608
41P,P,15,26,41,324.1686033,0.1201628,120.1628
42P,P,15,27,42,326.1683124,0.0950082,95.0082
28S,S,16,12,28,209.4061508,0.1600004,160.0004
29S,S,16,13,29,224.6450954,0.0130413,13.0413
30S,S,16,14,30,243.681243,0.000207,0.207
31S,S,16,15,31,256.7358403,0.0002294,0.2294
32S,S,16,16,32,271.7801632,6.4e-06,0.006399999999999999
33S,S,16,17,33,280.4218032,6.6e-06,0.0066
34S,S,16,18,34,291.8389524,4.42e-05,0.0442
35S,S,16,19,35,298.8247885,4.2e-05,0.042
36S,S,16,20,36,308.71404,0.0001872,0.1872
37S,S,16,21,37,313.0176431,0.0001998,0.1998
38S,S,16,22,38,321.0537502,0.0071706,7.1706
39S,S,16,23,39,325.4265222,0.0500019,50.0019
40S,S,16,24,40,333.17302,0.003984,3.984
41S,S,16,25,41,337.4150678,0.0041,4.100000000000001
42S,S,16,26,42,344.115555,0.002793,2.793
43S,S,16,27,43,346.7445868,0.0049708,4.9708
44S,S,16,28,44,351.8246776,0.0052184,5.2184
30Cl,Cl,17,13,30,224.165094,0.023877,23.877
31Cl,Cl,17,14,31,243.9455131,0.0034472,3.4472
32Cl,Cl,17,15,32,258.3169856,0.0005632,0.5632
33Cl,Cl,17,16,33,274.0569381,0.0003894,0.3894
34Cl,Cl,17,17,34,285.5650004,4.76e-05,0.0476
35Cl,Cl,17,18,35,298.209765,3.5e-05,0.035
36Cl,Cl,17,19,36,306.7895592,3.6e-05,0.036
37Cl,Cl,17,20,37,317.1004192,5.18e-05,0.0518
38Cl,Cl,17,21,38,323.2083046,9.88e-05,0.0988
39Cl,Cl,17,22,39,331.2817248,0.0017316,1.7316
40Cl,Cl,17,23,40,337.11064,0.032064,32.064
41Cl,Cl,17,24,41,344.9313313,0.0687242,68.7242
42Cl,Cl,17,25,42,350.5272288,0.0596148,59.6148
43Cl,Cl,17,26,43,357.9262896,0.0618598,61.8598
44Cl,Cl,17,27,44,362.3170672,0.0855668,85.5668
45Cl,Cl,17,28,45,368.1719595,0.1361655,136.1655
