Z,N,A,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
8,8,16,1.2991500310599804,126.73324437811971,127.61931610107422,128.0323944091797,0.41308480501174927,0.8860652260482311
8,9,17,1.4483357286453247,131.42036239147185,131.76239013671875,132.8686981201172,1.1063052415847778,0.34203048706054684
9,8,17,1.2837738782167434,127.75562431514263,128.21958923339844,129.03939819335938,0.8198171854019165,0.4639566928148269
8,10,18,1.5194186472892761,139.65558440446853,139.80776977539062,141.1750030517578,1.367234230041504,0.1521844172477722
9,9,18,1.4372560918331145,138.09144569039344,137.36949157714844,139.52870178222656,2.159210681915283,-0.7219545900821687
10,8,18,1.1310443022847176,131.99535950630903,132.14263916015625,133.12640380859375,0.9837614297866821,0.1472828724980355
8,11,19,0.8804954007267952,143.58379903286695,143.76341247558594,144.46429443359375,0.7008911967277527,0.17960420399904253
9,10,19,1.4709889250993728,148.19701034247876,147.80136108398438,149.66799926757812,1.8666352033615112,-0.3956462782621384
10,9,19,1.3399903327226639,144.1317046135664,143.77952575683594,145.47169494628906,1.69218111038208,-0.3521907776594162
11,8,19,0.1015096578001976,131.70288792520762,131.81983947753906,131.8043975830078,-0.015441600233316422,0.11695125803351403
8,12,20,0.15811857156921177,151.21848360128234,151.3714141845703,151.37660217285156,0.005185999907553196,0.15293257166165858
9,11,20,0.5721315023303032,154.16117538243532,154.40269470214844,154.73330688476562,0.33059799671173096,0.24153350561857223
10,10,20,0.33326733035035433,160.62973010617307,160.6448211669922,160.96299743652344,0.3181760013103485,0.015091329040005819
11,9,20,0.018035058120731265,145.94966208543394,145.97006225585938,145.9676971435547,-0.0023560000117868185,0.020391058132518083
12,8,20,-0.4610331963002682,134.17143663868308,134.5605010986328,133.7104034423828,-0.8501039743423462,0.389070778042078
8,13,21,-0.5552424480766058,154.95413771174847,155.17686462402344,154.39889526367188,-0.77796870470047,0.22272625662386414
9,12,21,0.41807712413370607,162.5935195555538,162.50416564941406,163.0115966796875,0.507438600063324,-0.0893614759296179
10,11,21,-0.31362666506320236,167.5719274463132,167.40599060058594,167.25830078125,-0.14768560230731964,-0.16594106275588272
11,10,21,-0.4279791070520878,163.13697874084116,163.07672119140625,162.70899963378906,-0.3677200973033905,-0.0602590097486973
12,9,21,-0.3641335781663656,149.66383145414292,149.20567321777344,149.29969787597656,0.09403429925441742,-0.458167877420783
8,14,22,-0.6939307799935341,161.8321296325326,162.02719116210938,161.13819885253906,-0.8889883756637573,0.19505759567022318
9,13,22,0.06350187235046179,167.68840547628236,167.7344970703125,167.7519073486328,0.01740119978785515,0.04610067256260664
10,12,22,-0.6581044887006283,177.9577108119428,177.77024841308594,177.2996063232422,-0.47064319252967834,-0.18746129617094998
11,11,22,-0.6787748242914676,174.61908244147898,174.1445770263672,173.9403076171875,-0.2042728066444397,-0.47450201764702793
12,10,22,-0.9082720789313317,168.74927549690008,168.58082580566406,167.84100341796875,-0.7398189902305603,-0.16845308870077136
8,15,23,-2.741125771999359,164.8896243071556,164.76016235351562,162.14849853515625,-2.611668825149536,-0.12945694684982278
9,14,23,0.08508293834747746,175.31611640247283,175.31393432617188,175.4011993408203,0.08727189898490906,-0.0021889606374315973
10,13,23,-0.08098916769493371,182.99288491964805,182.97088623046875,182.91189575195312,-0.058990299701690674,-0.021998867993243035
11,12,23,-1.1071989300847054,186.6397917035222,186.56434631347656,185.5325927734375,-1.0317528247833252,-0.07544610530138018
12,11,23,-1.2157772278785706,181.8570736145973,181.725830078125,180.64129638671875,-1.0845266580581665,-0.13125056982040406
13,10,23,-0.49956866875290873,168.6805684246123,168.7217254638672,168.18099975585938,-0.5407325029373169,0.041163834184408166
8,16,24,-3.854655501842499,169.24245762586594,168.95245361328125,165.38780212402344,-3.5646519660949707,-0.29000353574752813
9,15,24,-0.9311467313766479,179.0796452665329,179.12599182128906,178.14849853515625,-0.9774944186210632,0.04634768724441529
10,14,24,0.43737309128046037,191.85782344192268,191.8397979736328,192.29519653320312,0.4553951919078827,-0.01802210062742232
11,13,24,-0.8816384783387184,193.53154082208872,193.52371215820312,192.64990234375,-0.8738167881965637,-0.007821690142154725
12,12,24,-1.330371430516243,198.25796847641467,198.25704956054688,196.92759704589844,-1.3294471502304077,-0.0009242802858353549
13,11,24,-1.152954876124859,183.67324906557798,183.58993530273438,182.52029418945312,-1.0696344375610352,-0.08332043856382376
14,10,24,-0.015125637867022305,171.94212759099202,172.0135955810547,171.927001953125,-0.08658959716558456,0.07146395929856225
8,17,25,-3.7009596490859984,168.4590620660782,168.1951446533203,164.7581024169922,-3.437045097351074,-0.2639145517349242
9,16,25,-1.1217754244804383,183.26557425260543,183.4076690673828,182.143798828125,-1.2638624906539917,0.14208706617355338
10,15,25,-0.12456130864098668,195.74406814457848,195.99497985839844,195.6195068359375,-0.37548500299453735,0.25092369435355066
11,14,25,0.3837668481748551,202.82443932858297,202.53494262695312,203.2082061767578,0.673252522945404,-0.28948567477054893
12,13,25,-0.6838284675776959,205.79773532792925,205.5875701904297,205.11390686035156,-0.47367000579833984,-0.21015846177935604
13,12,25,-0.8172970308363438,200.70889859333636,200.52841186523438,199.8916015625,-0.6368150115013123,-0.1804820193350315
14,11,25,0.09652918817941099,187.39176732060966,187.00277709960938,187.48829650878906,0.48552748560905457,-0.3889982974296436
8,18,26,-2.87948425412178,169.31687744259835,168.9344482421875,166.43739318847656,-2.497054100036621,-0.3824301540851591
9,17,26,-0.7134898388385773,184.06958419919013,184.13848876953125,183.35609436035156,-0.7823922038078308,0.0689023649692535
10,16,26,-0.0523717842111364,201.49516658401583,201.5496826171875,201.4427947998047,-0.10688599944114685,0.05451421523001045
11,15,26,-0.2649157639965415,208.2884142991528,208.10923767089844,208.02349853515625,-0.0857338011264801,-0.17918196287006138
12,14,26,0.6751297973096371,216.47606954351068,216.68064880371094,217.1511993408203,0.47055140137672424,0.20457839593291283
13,13,26,0.5951217657327652,211.833772277236,211.89389038085938,212.42889404296875,0.5350021719932556,0.06011959373950959
14,12,26,0.5696174125373363,205.79998097613455,206.04241943359375,206.36959838867188,0.32718420028686523,0.2424332122504711
9,18,27,0.006385723438579589,185.62902077070206,185.75099182128906,185.63540649414062,-0.11558739840984344,0.12197312184842303
10,17,27,-0.0019534749910235403,203.0970462484285,203.05120849609375,203.0950927734375,0.04389230161905289,-0.045845776610076425
11,16,27,-0.24140507843345405,215.0282092776522,214.83755493164062,214.78680419921875,-0.0507608987390995,-0.19064417969435454
12,15,27,-0.2219804983958602,222.96047537144273,223.1240234375,222.73849487304688,-0.38551750779151917,0.16353700939565896
13,14,27,0.8837630793452262,224.89944004565479,224.95193481445312,225.783203125,0.8312609195709229,0.05250215977430339
14,13,27,0.9362364420294762,219.30166333824397,219.35723876953125,220.23789978027344,0.8806660175323486,0.05557042449712757
15,12,27,-0.7234837701916694,206.7800786188245,206.8494110107422,206.0565948486328,-0.792813777923584,0.06933000773191456
9,19,28,0.4248003152012825,185.51489695042372,185.55198669433594,185.939697265625,0.38771238923072815,0.037087925970554325
10,18,28,0.34899174064397814,206.94940913826227,206.8737030029297,207.29840087890625,0.42470359802246094,-0.0757118573784828
11,17,28,-0.3011981109529734,218.32829772032798,218.37940979003906,218.027099609375,-0.3523032069206238,0.051105095967650394
12,16,28,-0.385933191627264,231.42372921213507,231.62869262695312,231.0377960205078,-0.5908867716789246,0.20495358005166053
13,15,28,0.06850170565303415,232.5559947543079,232.67710876464844,232.62449645996094,-0.05261319875717163,0.12111490441020578
14,14,28,1.4866936522722245,236.25849982917308,236.53684997558594,237.7451934814453,1.2083539962768555,0.27833965599536903
15,13,28,-0.13390408908948304,221.34180509006603,221.40956115722656,221.20790100097656,-0.20165759325027466,0.06775350416079162
16,12,28,-1.259028216600418,209.37262990117074,209.40614318847656,208.1136016845703,-1.292550802230835,0.03352258563041688
9,20,29,0.4283528982102871,186.72064917698503,186.8769073486328,187.1490020751953,0.2720893919467926,0.1562635062634945
10,19,29,0.2669811795651913,207.64372438684106,207.84495544433594,207.91070556640625,0.06574829667806625,0.20123288288712504
11,18,29,0.2270075346902013,222.7843907807395,222.78240966796875,223.0113983154297,0.2289862036705017,-0.001978668980300413
12,17,29,-0.3793498110771179,235.28744612455367,235.29241943359375,234.90809631347656,-0.3843193054199219,0.004969494342803971
13,16,29,-0.34252400673925876,242.31531758584083,242.10546875,241.97279357910156,-0.13267630338668823,-0.20984770335257052
14,15,29,0.6118258640170098,244.84567840844392,245.0104522705078,245.45750427246094,0.44705310463905334,0.16477275937795643
15,14,29,0.4656945741921663,239.1325109922141,239.28587341308594,239.59820556640625,0.31233280897140503,0.15336176522076128
16,13,29,-0.4529669516533613,224.80587222509087,224.6450958251953,224.3529052734375,-0.2921954095363617,-0.16077154211699962
10,20,30,0.0284878787654452,211.07251004603924,211.03594970703125,211.1009979248047,0.06504900008440018,-0.036561121318954976
11,19,30,0.33809765554964544,224.94359484933318,225.05905151367188,225.2816925048828,0.22264499962329865,0.11545265592634679
12,18,30,-0.09317684406414628,241.61757564777508,241.63275146484375,241.52439880371094,-0.1083500012755394,0.015173157211393118
13,17,30,-0.6732967412471771,247.8683956182003,247.83314514160156,247.19509887695312,-0.6380469799041748,-0.035249761343002284
14,16,30,0.39238549672067163,255.67341040171684,255.61964416503906,256.0657958984375,0.44615301489830017,-0.05376751817762854
15,15,30,0.5941952092945576,250.63329807683826,250.60519409179688,251.2274932861328,0.6223080158233643,-0.028112806528806655
16,14,30,0.34442053593695166,243.68478478632866,243.68124389648438,244.02920532226562,0.34795698523521423,-0.0035364492982625784
17,13,30,-1.156762993335724,224.19565764665603,224.16510009765625,223.0388946533203,-1.1261940002441406,-0.03056899309158334
10,21,31,-0.9847829845547676,211.3760793712735,211.20579528808594,210.39129638671875,-0.8144962191581726,-0.17028676539659504
11,20,31,-0.23357282975688576,229.33457075456158,229.3590087890625,229.1009979248047,-0.2580117881298065,0.02443895837292076
12,19,31,0.280430116802454,244.01327105507255,243.94483947753906,244.293701171875,0.3488534092903137,-0.06842329248785972
13,18,31,-0.4405631648004055,255.14596172437072,254.99105834960938,254.7053985595703,-0.28565800189971924,-0.1549051629006863
14,17,31,-0.4184134029597044,262.44450593225656,262.20703125,262.0260925292969,-0.18093959987163544,-0.23747380308806898
15,16,31,0.20436144679784773,262.82945202976464,262.91619873046875,263.0338134765625,0.11760129779577255,0.08676014900207518
16,15,31,0.19441188767552375,256.67408786818385,256.73583984375,256.8684997558594,0.1326597034931183,0.06175218418240547
17,14,31,-0.49305662348866464,243.9822534008324,243.9455108642578,243.48919677734375,-0.4563131034374237,-0.03674352005124093
11,21,32,-1.1243071946501733,231.18160394757987,231.0362091064453,230.0572967529297,-0.9789080023765564,-0.14539919227361686
12,20,32,0.07292297988431529,249.73907348007663,249.72291564941406,249.81199645996094,0.08908479660749435,-0.016161816723179068
13,19,32,-0.33394869431853297,259.237635217756,259.2110290527344,258.9036865234375,-0.30733680725097656,-0.026611887067556406
14,18,32,-0.6045716235041618,271.50798348873855,271.4070129394531,270.9034118652344,-0.503607988357544,-0.10096363514661788
15,17,32,-0.6130195817351342,270.8131233415008,270.8518371582031,270.2001037597656,-0.6517496109008789,0.03873002916574475
16,16,32,0.687810235619545,271.78399152219293,271.7801513671875,272.4718017578125,0.6916368007659912,-0.0038265651464461925
17,15,32,-0.669641028791666,258.22612906590103,258.3169860839844,257.5564880371094,-0.7604855895042419,0.09084456071257596
18,14,32,-0.9712436699867248,246.5134494805336,246.40028381347656,245.54220581054688,-0.8580847978591919,-0.11315887212753295
11,22,33,-1.6661611962318421,233.86376251459123,233.96755981445312,232.19760131835938,-1.769964575767517,0.10380337953567498
12,21,33,-1.1307159551978112,252.23201905578375,252.00245666503906,251.10130310058594,-0.9011605978012085,-0.2295553573966027
13,20,33,0.39210893426090476,264.77988813605157,264.68035888671875,265.1719970703125,0.4916324019432068,-0.09952346768230202
14,19,33,-0.5494925799965859,276.2661979022622,275.91497802734375,275.7167053222656,-0.19826680421829224,-0.3512257757782936
15,18,33,-0.7471302080154419,280.8435352373123,280.95562744140625,280.0964050292969,-0.8592408895492554,0.11211068153381343
16,17,33,0.1425231686537154,280.40358889189315,280.42181396484375,280.5461120605469,0.12429679930210114,0.018226369351614258
17,16,33,0.09476629792246967,273.9860442489525,274.05694580078125,274.080810546875,0.023861899971961975,0.0709043979505077
18,15,33,-0.8419678118824959,261.50447391539814,261.6555480957031,260.6625061035156,-0.9930446743965149,0.15107686251401897
11,23,34,-1.623350681066513,234.38024765372276,234.13888549804688,232.75689697265625,-1.3819818496704102,-0.24136883139610288
12,22,34,-1.7575451231002808,256.7171398496628,256.71331787109375,254.9595947265625,-1.7537245750427246,-0.0038205480575561612
13,21,34,0.5451682615280151,267.3551308107376,267.2519226074219,267.9002990722656,0.6483796238899231,-0.10321136236190798
14,20,34,-0.1666588095203042,283.5996727255359,283.4636535644531,283.4330139160156,-0.030640600249171257,-0.13601820927113295
15,19,34,-0.9940042266249657,287.1637124785781,287.2383117675781,286.1697082519531,-1.068610429763794,0.07460620313882826
16,18,34,-0.24260897548869254,291.9030093661137,291.8389587402344,291.660400390625,-0.17855240404605865,-0.06405657144263388
17,17,34,-0.07281809988897293,285.82791453543587,285.56500244140625,285.7550964355469,0.1900995969772339,-0.2629176968662068
18,16,34,-0.2561929440498352,278.6809976315498,278.7208557128906,278.4248046875,-0.29606160521507263,0.03986866116523741
12,23,35,-1.7716414189338685,257.50253741502763,257.4681701660156,255.73089599609375,-1.7372829914093018,-0.03435842752456675
13,22,35,-0.153409027364105,272.5080232851766,272.5493469238281,272.3546142578125,-0.19475050270557404,0.041341475341469036
14,21,35,0.6315840482711792,285.9797135591507,285.93475341796875,286.6112976074219,0.6765459775924683,-0.04496192932128906
15,20,35,-0.7290934583544731,295.47109785288575,295.6187438964844,294.74200439453125,-0.8767359852790833,0.1476425269246101
16,19,35,-0.6112786361575127,299.1049920150638,298.8247985839844,298.49371337890625,-0.33108851313591003,-0.2801901230216026
17,18,35,-0.14187904790160247,298.12127968266725,298.20977783203125,297.9794006347656,-0.23036499321460724,0.08848594531300477
18,17,35,-0.12104404048062861,291.3411368139181,291.461181640625,291.2200927734375,-0.24107350409030914,0.12002946360968053
19,16,35,-0.7261736568808556,278.9079668697715,278.804443359375,278.1817932128906,-0.6226314902305603,-0.10354216665029525
12,24,36,-1.7719194078445435,260.9001237535477,260.79913330078125,259.1282043457031,-1.6709271669387817,-0.10099224090576175
13,23,36,0.16891240073833613,274.4509911637148,274.4465637207031,274.6199035644531,0.17334559559822083,-0.004433194859884693
