Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
8,8,16,train,True,3.2e-06,1.3492610627412795,126.68313334643841,127.61931610107422,128.0323944091797,0.41308480501174927,0.9361762577295303
8,9,17,train,True,3.4e-06,1.4392506712675095,131.4294474488497,131.76239013671875,132.8686981201172,1.1063052415847778,0.33294542968273166
9,8,17,train,True,0.0002482,1.3124186545610428,127.72697953879833,128.21958923339844,129.03939819335938,0.8198171854019165,0.4926014691591263
8,10,18,train,True,3.6e-06,1.474201871752739,139.70080118000507,139.80776977539062,141.1750030517578,1.367234230041504,0.10696764171123507
9,9,18,train,True,0.0004626,1.4056317234039306,138.12307005882263,137.36949157714844,139.52870178222656,2.159210681915283,-0.7535789585113526
10,8,18,train,True,0.0003636,1.0812698411941528,132.0451339673996,132.14263916015625,133.12640380859375,0.9837614297866821,0.09750841140747069
8,11,19,train,True,0.0026372,0.8789984354376793,143.58529599815608,143.76341247558594,144.46429443359375,0.7008911967277527,0.17810723870992662
9,10,19,train,True,3.8e-06,1.415907120704651,148.25209214687348,147.80136108398438,149.66799926757812,1.8666352033615112,-0.45072808265686026
10,9,19,train,True,0.0001596,1.278208665251732,144.19348628103734,143.77952575683594,145.47169494628906,1.69218111038208,-0.41397244513034814
11,8,19,train,True,0.0105355,0.10304117053281515,131.701356412475,131.81983947753906,131.8043975830078,-0.015441600233316422,0.11848277076613158
8,12,20,train,True,0.000884,0.1351401294535026,151.24146204339806,151.3714141845703,151.37660217285156,0.005185999907553196,0.1299541295459494
9,11,20,train,True,3e-05,0.5898683403432369,154.1434385444224,154.40269470214844,154.73330688476562,0.33059799671173096,0.2592703436315059
10,10,20,train,True,4e-06,0.36732206754386426,160.59567536897958,160.6448211669922,160.96299743652344,0.3181760013103485,0.04914606623351575
11,9,20,train,True,0.001108,0.004468484241515398,145.96322865931316,145.97006225585938,145.9676971435547,-0.0023560000117868185,0.0068244842533022165
12,8,20,train,True,0.001862,-0.5209968686103821,134.2314003109932,134.5605010986328,133.7104034423828,-0.8501039743423462,0.3291071057319641
8,13,21,train,True,0.0119994,-0.617389859855175,155.01628512352704,155.17686462402344,154.39889526367188,-0.77796870470047,0.16057884484529494
9,12,21,train,True,0.0017997,0.37338018864393235,162.63821649104358,162.50416564941406,163.0115966796875,0.507438600063324,-0.13405841141939162
10,11,21,train,True,3.78e-05,-0.28095852230675517,167.53925930355675,167.40599060058594,167.25830078125,-0.14768560230731964,-0.13327291999943552
11,10,21,train,True,4.2e-05,-0.3879648101516068,163.09696444394066,163.07672119140625,162.70899963378906,-0.3677200973033905,-0.020244712848216273
12,9,21,train,True,0.0007539,-0.41251377867534755,149.71221165465192,149.20567321777344,149.29969787597656,0.09403429925441742,-0.506548077929765
8,14,22,train,True,0.0569206,-0.8666350582242012,162.00483391076327,162.02719116210938,161.13819885253906,-0.8889883756637573,0.022353317439556153
9,13,22,train,True,0.0123992,0.03433944084914401,167.71756790778366,167.7344970703125,167.7519073486328,0.01740119978785515,0.016938241061288863
10,12,22,train,True,1.76e-05,-0.6512981049716473,177.95090442821385,177.77024841308594,177.2996063232422,-0.47064319252967834,-0.18065491244196896
11,11,22,train,True,0.000132,-0.6543844418972731,174.59469205908476,174.1445770263672,173.9403076171875,-0.2042728066444397,-0.4501116352528334
12,10,22,train,True,0.0001584,-0.9081765297055244,168.74917994767426,168.58082580566406,167.84100341796875,-0.7398189902305603,-0.16835753947496412
8,15,23,train,False,0.1217114,-1.2575325512886046,163.40603108644484,164.76016235351562,162.14849853515625,-2.611668825149536,1.3541362738609315
9,14,23,train,True,0.0333201,0.024164695914951153,175.37703464490536,175.31393432617188,175.4011993408203,0.08727189898490906,-0.0631072030699579
10,13,23,train,True,0.0001035,-0.11834971261909231,183.0302454645722,182.97088623046875,182.91189575195312,-0.058990299701690674,-0.05935941291740164
11,12,23,train,True,4.6e-06,-1.120785053372383,186.65337782680987,186.56434631347656,185.5325927734375,-1.0317528247833252,-0.0890322285890579
12,11,23,train,True,3.22e-05,-1.2011968523263932,181.84249323904515,181.725830078125,180.64129638671875,-1.0845266580581665,-0.11667019426822667
13,10,23,train,True,0.000345,-0.5296186070144177,168.7106183628738,168.7217254638672,168.18099975585938,-0.5407325029373169,0.011113895922899242
8,16,24,train,False,0.1648752,-1.1784710386395454,166.56627316266298,168.95245361328125,165.38780212402344,-3.5646519660949707,2.3861809274554253
9,15,24,train,False,0.0976704,-0.32927125176414845,178.4777697869204,179.12599182128906,178.14849853515625,-0.9774944186210632,0.6482231668569147
10,14,24,train,True,0.0005136,0.36827717170119284,191.92691936150194,191.8397979736328,192.29519653320312,0.4553951919078827,-0.08711802020668985
11,13,24,train,True,1.68e-05,-0.8830641037225724,193.53296644747257,193.52371215820312,192.64990234375,-0.8738167881965637,-0.00924731552600866
12,12,24,train,True,1.44e-05,-1.31671207010746,198.2443091160059,198.25704956054688,196.92759704589844,-1.3294471502304077,0.012735080122947773
13,11,24,train,True,0.000228,-1.177664334475994,183.69795852392912,183.58993530273438,182.52029418945312,-1.0696344375610352,-0.1080298969149589
14,10,24,train,True,0.0194712,-0.01813004261814058,171.94513199574314,172.0135955810547,171.927001953125,-0.08658959716558456,0.06845955454744398
8,17,25,train,False,0.165085,-1.1176934032142163,165.8757958202064,168.1951446533203,164.7581024169922,-3.437045097351074,2.319351694136858
9,16,25,train,False,0.0964425,-0.36265245903283355,182.50645128715783,183.4076690673828,182.143798828125,-1.2638624906539917,0.9012100316211582
10,15,25,train,True,0.029045,-0.08882478760089725,195.70833162353838,195.99497985839844,195.6195068359375,-0.37548500299453735,0.2866602153936401
11,14,25,train,True,0.0012,0.3922202583774924,202.8159859183803,202.53494262695312,203.2082061767578,0.673252522945404,-0.28103226456791164
12,13,25,train,True,4.75e-05,-0.6735836473107338,205.78749050766228,205.5875701904297,205.11390686035156,-0.47367000579833984,-0.199913641512394
13,12,25,train,True,6.5e-05,-0.8132111719250679,200.70481273442508,200.52841186523438,199.8916015625,-0.6368150115013123,-0.1763961604237556
14,11,25,train,True,0.01,0.03852039048913866,187.44977611829992,187.00277709960938,187.48829650878906,0.48552748560905457,-0.4470070951199159
8,18,26,train,False,0.1649492,-0.7846570375747979,167.22205022605135,168.9344482421875,166.43739318847656,-2.497054100036621,1.7123970624618232
9,17,26,train,False,0.1070264,-0.43634703524410723,183.79244139559566,184.13848876953125,183.35609436035156,-0.7823922038078308,0.3460451685637236
10,16,26,train,True,0.0184288,-0.06583559830905869,201.50863039811375,201.5496826171875,201.4427947998047,-0.10688599944114685,0.04105040113208816
11,15,26,train,True,0.0035022,-0.23977705812081695,208.26327559327706,208.10923767089844,208.02349853515625,-0.0857338011264801,-0.15404325699433685
12,14,26,train,True,2.86e-05,0.675432013720274,216.47576732710004,216.68064880371094,217.1511993408203,0.47055140137672424,0.2048806123435497
13,13,26,train,True,6.76e-05,0.6123770593106747,211.81651698365806,211.89389038085938,212.42889404296875,0.5350021719932556,0.07737488731741904
14,12,26,train,True,0.0001066,0.48384767562150954,205.88575071305036,206.04241943359375,206.36959838867188,0.32718420028686523,0.1566634753346443
9,18,27,train,False,0.1201986,-0.2491744732297957,185.88458096737043,185.75099182128906,185.63540649414062,-0.11558739840984344,-0.13358707481995225
10,17,27,train,True,0.0907713,-0.07544671649113298,203.17053948992864,203.05120849609375,203.0950927734375,0.04389230161905289,-0.11933901811018587
11,16,27,train,True,0.003726,-0.21714318899437784,215.00394738821313,214.83755493164062,214.78680419921875,-0.0507608987390995,-0.16638229025527834
12,15,27,train,True,4.86e-05,-0.2436519531905651,222.98214682623745,223.1240234375,222.73849487304688,-0.38551750779151917,0.14186555460095407
13,14,27,train,True,4.86e-05,0.8901931026577949,224.8930100223422,224.95193481445312,225.783203125,0.8312609195709229,0.05893218308687209
14,13,27,train,True,0.000108,0.8976321771740914,219.34026760309933,219.35723876953125,220.23789978027344,0.8806660175323486,0.01696615964174275
15,12,27,train,True,0.0090018,-0.5918893757462501,206.64848422437908,206.8494110107422,206.0565948486328,-0.792813777923584,0.20092440217733387
9,19,28,train,False,0.1203468,-0.39426944983191786,186.3339667154569,185.55198669433594,185.939697265625,0.38771238923072815,-0.7819818390626461
10,18,28,train,False,0.1260672,0.1203149686101824,207.17808591029606,206.8737030029297,207.29840087890625,0.42470359802246094,-0.3043886294122785
11,17,28,train,True,0.0102452,-0.26055269084870814,218.2876523002237,218.37940979003906,218.027099609375,-0.3523032069206238,0.09175051607191564
12,16,28,train,True,0.0002604,-0.378590632006526,231.41638665251435,231.62869262695312,231.0377960205078,-0.5908867716789246,0.21229613967239858
13,15,28,train,True,5.04e-05,0.03693595056887716,232.58756050939206,232.67710876464844,232.62449645996094,-0.05261319875717163,0.0895491493260488
14,14,28,train,True,5.6e-06,1.4672337663173676,236.27795971512793,236.53684997558594,237.7451934814453,1.2083539962768555,0.2588797700405121
15,13,28,train,True,0.001148,-0.15500916657969355,221.36291016755627,221.40956115722656,221.20790100097656,-0.20165759325027466,0.04664842667058111
