Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
8,8,16,train,True,3.2e-06,-4.360965514183045,126.39931848049164,127.61931610107422,122.0383529663086,-5.5809645652771,1.2199990510940548
8,9,17,train,True,3.4e-06,-2.9159469389915467,131.36899564504623,131.76239013671875,128.4530487060547,-3.309343099594116,0.39339616060256954
9,8,17,train,True,0.0002482,-2.359147569537163,127.38161613643169,128.21958923339844,125.02246856689453,-3.1971118450164795,0.8379642754793166
8,10,18,train,True,3.6e-06,-1.4852355021238326,139.6751463907957,139.80776977539062,138.18991088867188,-1.6178584098815918,0.1326229077577592
9,9,18,train,True,0.0004626,-1.021742564290762,137.97195313557984,137.36949157714844,136.95021057128906,-0.41928499937057495,-0.6024575649201871
10,8,18,train,True,0.0003636,-0.9165540650486946,131.91090831309558,132.14263916015625,130.99435424804688,-1.1482809782028198,0.2317269131541252
8,11,19,train,True,0.0026372,-0.9672855919599533,143.45759626090526,143.76341247558594,142.4903106689453,-1.2730963230133057,0.3058107310533523
9,10,19,train,True,3.8e-06,-0.7576067920029164,148.03672056153417,147.80136108398438,147.27911376953125,-0.5222533941268921,-0.23535339787602427
10,9,19,train,True,0.0001596,-0.5849859523773193,144.10247252464293,143.77952575683594,143.51748657226562,-0.26203274726867676,-0.32295320510864256
11,8,19,train,True,0.0105355,-0.12302070538513363,131.26961189190857,131.81983947753906,131.14659118652344,-0.6732428073883057,0.550222102003172
8,12,20,train,True,0.000884,-1.2621547248959541,151.30471148759128,151.3714141845703,150.0425567626953,-1.3288507461547852,0.066696021258831
9,11,20,train,True,3e-05,-0.41360557544976473,154.3516243742779,154.40269470214844,153.93801879882812,-0.4646805226802826,0.051074947230517864
10,10,20,train,True,4e-06,-1.121690337061882,160.18124539077283,160.6448211669922,159.05955505371094,-1.5852619409561157,0.4635716038942337
11,9,20,train,True,0.001108,0.11805495164357126,145.91639939405957,145.97006225585938,146.03445434570312,0.06439869850873947,0.053656253134831786
12,8,20,train,True,0.001862,0.19361769827082753,134.03987229196355,134.5605010986328,134.23348999023438,-0.32700905203819275,0.5206267503090203
8,13,21,train,True,0.0119994,-2.212606011033058,154.8257804495096,155.17686462402344,152.61317443847656,-2.563690185546875,0.3510841745138169
9,12,21,train,True,0.0017997,-0.7807793383300304,162.80945060297847,162.50416564941406,162.02867126464844,-0.4754882752895355,-0.3052910630404949
10,11,21,train,True,3.78e-05,-0.7407187500596046,167.01609411627055,167.40599060058594,166.27537536621094,-1.130616545677185,0.3898977956175804
11,10,21,train,True,4.2e-05,-0.562133953422308,162.69847123369576,163.07672119140625,162.13633728027344,-0.9403873085975647,0.3782533551752567
12,9,21,train,True,0.0007539,0.23653714329004288,149.43193514674903,149.20567321777344,149.66847229003906,0.46280190348625183,-0.22626476019620895
8,14,22,train,True,0.0569206,-3.502813632488251,161.88094168424607,162.02719116210938,158.3781280517578,-3.6490564346313477,0.14624280214309682
9,13,22,train,True,0.0123992,-1.141823747754097,167.93171022236348,167.7344970703125,166.78988647460938,-0.944616436958313,-0.1972073107957839
